Marca;Puntos
16:28.67;285
16:29.33;284
16:30.00;283
16:31.33;282
16:32.00;281
16:32.67;280
16:34.00;279
16:34.67;278
16:35.33;277
16:36.00;276
16:37.33;275
16:38.00;274
16:38.67;273
16:40.00;272
16:40.67;271
16:41.33;270
16:42.67;269
16:43.33;268
16:44.00;267
16:45.00;265
16:45.33;266
16:46.67;264
16:48.00;263
16:48.67;262
16:49.33;261
16:50.67;260
16:51.33;259
16:52.00;258
16:53.00;256
16:53.33;257
16:55.33;255
16:56.00;254
16:56.67;253
16:57.00;252
16:58.67;251
16:59.33;250
17:00.67;249
17:01.33;248
17:02.67;247
17:03.33;246
17:04.00;245
17:05.33;244
17:06.00;243
17:07.33;242
17:08.00;241
17:08.67;240
17:10.00;239
17:10.67;238
17:12.00;237
17:12.67;236
17:13.33;235
17:14.67;234
17:15.33;233
17:16.67;232
17:17.33;231
17:18.67;230
17:19.00;228
17:19.33;229
17:21.33;227
17:22.00;226
17:23.00;224
17:23.33;225
17:25.33;223
17:26.00;222
17:27.00;220
17:27.33;221
17:29.33;219
17:30.00;218
17:31.33;217
17:32.00;216
17:33.33;215
17:34.00;214
17:35.33;213
17:36.00;212
17:37.33;211
17:38.00;210
17:39.33;209
17:40.00;208
17:41.33;207
17:42.00;206
17:43.33;205
17:44.00;204
17:45.00;202
17:45.33;203
17:47.33;201
17:48.00;200
17:49.00;198
17:49.33;199
17:51.33;197
17:52.00;196
17:53.33;195
17:54.67;194
17:55.33;193
17:56.67;192
17:57.33;191
17:58.67;190
18:00.00;189
18:00.67;188
18:02.00;187
18:02.67;186
18:03.00;185
18:04.67;184
18:06.00;183
18:07.33;182
18:08.00;181
18:09.33;180
18:10.67;179
18:11.33;178
18:12.67;177
18:14.00;176
18:14.67;175
18:15.00;174
18:16.67;173
18:18.00;172
18:19.00;170
18:19.33;171
18:21.33;169
18:22.67;168
18:23.00;167
18:24.67;166
18:26.00;165
18:27.00;163
18:27.33;164
18:29.33;162
18:30.67;161
18:31.33;160
18:32.67;159
18:34.00;158
18:35.33;157
18:36.00;156
18:37.33;155
18:38.67;154
18:40.00;153
18:40.67;152
18:42.00;151
18:43.33;150
18:44.67;149
18:45.00;148
18:46.67;147
18:48.00;146
18:49.33;145
18:50.67;144
18:52.00;143
18:52.67;142
18:53.00;141
18:55.33;140
18:56.67;139
18:57.00;138
18:59.33;137
19:00.67;136
19:01.33;135
19:02.67;134
19:03.00;133
19:05.33;132
19:06.67;131
19:07.00;130
19:09.33;129
19:10.67;128
19:12.00;127
19:13.33;126
19:14.67;125
19:15.00;124
19:16.67;123
19:18.00;122
19:19.33;121
19:20.67;120
19:22.00;119
19:23.33;118
19:24.67;117
19:26.00;116
19:27.33;115
19:29.33;114
19:30.67;113
19:32.00;112
19:33.33;111
19:34.67;110
19:36.00;109
19:37.33;108
19:38.67;107
19:40.00;106
19:41.33;105
19:42.67;104
19:44.67;103
19:45.00;102
19:47.33;101
19:48.67;100
19:49.00;99
19:51.33;98
19:53.33;97
19:54.67;96
19:56.00;95
19:57.33;94
19:59.33;93
20:00.67;92
20:02.00;91
20:03.33;90
20:05.33;89
20:06.67;88
20:07.00;87
20:10.00;86
20:11.33;85
20:13.33;84
20:14.67;83
20:15.00;82
20:18.00;81
20:19.33;80
20:21.33;79
20:22.67;78
20:24.67;77
20:26.00;76
20:27.00;75
20:29.33;74
20:31.33;73
20:32.67;72
20:34.67;71
20:36.00;70
20:38.00;69
20:40.00;68
20:41.33;67
20:43.33;66
20:45.33;65
20:46.67;64
20:48.67;63
20:50.67;62
20:52.67;61
20:53.00;60
20:56.00;59
20:57.00;58
21:00.00;57
21:02.00;56
21:03.00;55
21:06.00;54
21:07.00;53
21:10.00;52
21:12.00;51
21:14.00;50
21:15.00;49
21:18.00;48
21:19.00;47
21:22.00;46
21:24.67;45
21:26.67;44
21:28.67;43
21:31.33;42
21:33.33;41
21:35.33;40
21:38.00;39
21:40.00;38
21:42.67;37
21:45.33;36
21:47.33;35
21:49.00;34
21:52.67;33
21:55.33;32
21:57.00;31
22:00.00;30
22:02.67;29
22:06.00;28
22:08.67;27
22:11.33;26
22:14.00;25
22:17.33;24
22:19.00;23
22:23.33;22
22:26.67;21
22:29.33;20
22:32.67;19
22:36.00;18
22:40.00;17
22:43.33;16
22:46.67;15
22:50.67;14
22:54.67;13
22:58.67;12
23:03.33;11
23:07.33;10
23:12.67;9
23:17.33;8
23:22.67;7
23:28.67;6
23:34.67;5
23:41.33;4
23:49.33;3
23:58.67;2
24:10.67;1
9:19.33;1000
9:20.00;999
9:20.67;998
9:21.33;996
9:22.00;995
9:22.67;994
9:23.33;992
9:24.00;991
9:24.67;989
9:25.33;988
9:26.00;986
9:26.67;985
9:27.33;983
9:28.00;982
9:28.67;981
9:29.33;979
9:30.00;978
9:30.67;976
9:31.33;975
9:32.00;973
9:32.67;972
9:33.33;971
9:34.00;969
9:34.67;968
9:35.33;966
9:36.00;965
9:36.67;963
9:37.33;962
9:38.00;961
9:38.67;959
9:39.33;958
9:40.00;956
9:40.67;955
9:41.33;953
9:42.00;952
9:42.67;951
9:43.33;949
9:44.00;948
9:44.67;946
9:45.33;945
9:46.00;944
